mounted, id, time
1000, 911, 23653
1000, 30, 306065
1000, 726, 24952
1000, 250, 305973
1000, 287, 25638
1000, 101, 306075
1000, 188, 306013
1000, 879, 24011
1000, 4, 25753
1000, 439, 25494
1000, 228, 25687
1000, 398, 25595
1000, 595, 25385
1000, 590, 25371
1000, 174, 306036
1000, 289, 25666
1000, 84, 25725
1000, 67, 25741
1000, 470, 25421
1000, 144, 25712
1000, 591, 25389
1000, 288, 25632
1000, 281, 25684
1000, 92, 25743
1000, 792, 24271
1000, 372, 25601
1000, 58, 25747
1000, 143, 306080
1000, 295, 25645
1000, 610, 25283
1000, 248, 306016
1000, 68, 25758
1000, 498, 25423
1000, 387, 25514
1000, 3, 25775
1000, 170, 25716
1000, 701, 25148
1000, 211, 25682
1000, 871, 23925
1000, 410, 25598
1000, 401, 25576
1000, 843, 24175
1000, 72, 25767
1000, 994, 23606
1000, 359, 25594
1000, 674, 25144
1000, 219, 25689
1000, 821, 23953
1000, 102, 25759
1000, 566, 25395
1000, 671, 25146
1000, 282, 25710
1000, 971, 23623
1000, 237, 25688
1000, 787, 24383
1000, 718, 24911
1000, 118, 25749
1000, 832, 23799
1000, 976, 23618
1000, 230, 25725
1000, 496, 25451
1000, 921, 23631
1000, 991, 23679
1000, 940, 23628
1000, 712, 24939
1000, 115, 25777
1000, 327, 25687
1000, 391, 25578
1000, 25, 25809
1000, 206, 25746
1000, 113, 25777
1000, 314, 25614
1000, 324, 25698
1000, 116, 25782
1000, 514, 25193
1000, 148, 25780
1000, 944, 23630
1000, 475, 25381
1000, 510, 25406
1000, 299, 25691
1000, 648, 25306
1000, 69, 25809
1000, 310, 25636
1000, 399, 25686
1000, 348, 25620
1000, 774, 24648
1000, 353, 25617
1000, 257, 306133
1000, 94, 25827
1000, 20, 25843
1000, 652, 25329
1000, 744, 25061
1000, 585, 25496
1000, 910, 23799
1000, 439, 305733
1000, 819, 24063
1000, 573, 305133
1000, 500, 25520
1000, 928, 23914
1000, 34, 25854
1000, 378, 25659
1000, 104, 25849
1000, 161, 25801
1000, 576, 25449
1000, 71, 25862
1000, 98, 306194
1000, 898, 24124
1000, 864, 24234
1000, 268, 25773
1000, 876, 23981
1000, 839, 23910
1000, 731, 305132
1000, 147, 25946
1000, 636, 25510
1000, 533, 305317
1000, 650, 25506
1000, 943, 23959
1000, 917, 304957
1000, 444, 25723
1000, 38, 26027
1000, 557, 25737
1000, 785, 24638
1000, 858, 305128
1000, 292, 306282
1000, 492, 25699
1000, 240, 306339
1000, 245, 25958
1000, 711, 304781
1000, 822, 24178
1000, 434, 305903
1000, 170, 306364
1000, 430, 25818
1000, 782, 24706
1000, 973, 304989
1000, 978, 24008
1000, 793, 305120
1000, 892, 24285
1000, 103, 26019
1000, 112, 26015
1000, 194, 25985
1000, 678, 25404
1000, 922, 305047
1000, 638, 25589
1000, 286, 25956
1000, 79, 26050
1000, 598, 305320
1000, 506, 25741
1000, 190, 25999
1000, 368, 25968
1000, 405, 306274
1000, 863, 304974
1000, 587, 25993
1000, 41, 26363
1000, 226, 26273
1000, 919, 24208
1000, 253, 26293
1000, 775, 25023
1000, 607, 25978
1000, 666, 25748
1000, 553, 25906
1000, 962, 24254
1000, 50, 26381
1000, 766, 25195
1000, 700, 25761
1000, 574, 25967
1000, 837, 24362
1000, 412, 26201
1000, 646, 25851
1000, 665, 25803
1000, 65, 26377
1000, 518, 25753
1000, 964, 24313
1000, 945, 24311
1000, 995, 24139
1000, 563, 26000
1000, 543, 25937
1000, 381, 26168
1000, 374, 26213
1000, 397, 26237
1000, 315, 26222
1000, 917, 24324
1000, 816, 24559
1000, 615, 25926
1000, 477, 25963
1000, 110, 26357
1000, 835, 24358
1000, 377, 26200
1000, 249, 26333
1000, 457, 26147
1000, 623, 25927
1000, 21, 26384
1000, 111, 26378
1000, 224, 306653
1000, 786, 305525
1000, 414, 26235
1000, 395, 26246
1000, 452, 306238
1000, 582, 305663
1000, 589, 26029
1000, 298, 26324
1000, 447, 306240
1000, 522, 26133
1000, 744, 305596
1000, 987, 24339
1000, 62, 306806
1000, 420, 306475
1000, 952, 24345
1000, 841, 305585
1000, 990, 24343
1000, 207, 26422
1000, 717, 305352
1000, 996, 305393
1000, 561, 26095
1000, 317, 306655
1000, 799, 25058
1000, 481, 306173
1000, 850, 24518
1000, 723, 305629
1000, 350, 26267
1000, 433, 306375
1000, 1, 26517
1000, 716, 305374
1000, 623, 305683
1000, 511, 26153
1000, 115, 306846
1000, 181, 26465
1000, 838, 24522
1000, 975, 24363
1000, 949, 305309
1000, 702, 25889
1000, 574, 305758
1000, 61, 26498
1000, 356, 26300
1000, 552, 26040
1000, 78, 26485
1000, 490, 306157
1000, 770, 25310
1000, 986, 24390
1000, 474, 26193
1000, 796, 25121
1000, 489, 26152
1000, 505, 26174
1000, 261, 26453
1000, 46, 26528
1000, 757, 25189
1000, 256, 26445
1000, 641, 26094
1000, 101, 26495
1000, 516, 25918
1000, 478, 26059
1000, 765, 25142
1000, 300, 26429
1000, 26, 26543
1000, 145, 26485
1000, 699, 25914
1000, 502, 26187
1000, 679, 25922
1000, 308, 26439
1000, 794, 25178
1000, 963, 24463
1000, 645, 26014
1000, 861, 24935
1000, 608, 26161
1000, 495, 26213
1000, 185, 26497
1000, 301, 26446
1000, 681, 25917
1000, 707, 305413
